1000 47978
1 8 36
1 33 29
1 38 18
1 63 25
1 76 39
1 100 26
1 105 41
1 120 20
1 131 34
1 181 32
1 221 24
1 255 16
1 269 33
1 278 47
1 287 33
1 289 48
1 307 46
1 310 13
1 339 45
1 340 16
1 385 24
1 392 1
1 430 2
1 438 31
1 462 26
1 470 22
1 474 5
1 477 46
1 494 38
1 530 29
1 589 7
1 628 4
1 657 8
1 661 20
1 664 38
1 671 33
1 705 30
1 711 20
1 743 37
1 753 28
1 766 13
1 771 32
1 792 42
1 806 13
1 816 40
1 823 42
1 828 15
1 852 9
1 884 21
1 891 40
1 929 30
1 932 2
1 946 46
1 957 38
1 966 37
1 995 31
2 7 20
2 64 35
2 68 16
2 74 46
2 75 48
2 92 23
2 127 -2
2 149 30
2 154 13
2 160 35
2 199 39
2 252 39
2 254 12
2 258 40
2 277 26
2 303 7
2 314 15
2 329 -2
2 345 50
2 346 8
2 354 -2
2 360 36
2 388 17
2 441 13
2 443 33
2 445 8
2 451 16
2 476 16
2 495 45
2 501 49
2 507 9
2 553 10
2 599 34
2 603 25
2 623 19
2 632 43
2 635 -2
2 668 7
2 697 38
2 742 43
2 766 22
2 778 36
2 896 13
2 906 48
2 927 47
2 979 25
2 988 28
2 991 47
2 992 21
3 8 48
3 15 26
3 25 35
3 32 17
3 41 14
3 52 19
3 62 -1
3 65 6
3 107 -1
3 137 33
3 141 20
3 146 47
3 184 4
3 192 0
3 247 10
3 265 24
3 279 46
3 318 0
3 324 29
3 330 43
3 360 7
3 389 39
3 395 0
3 426 28
3 471 48
3 479 40
3 502 0
3 524 16
3 526 24
3 551 23
3 566 39
3 570 48
3 590 0
3 630 2
3 662 44
3 682 33
3 683 48
3 714 22
3 725 -1
3 738 38
3 745 17
3 747 8
3 793 28
3 813 40
3 839 34
3 854 32
3 883 1
3 887 27
3 895 48
3 900 35
3 966 34
3 990 12
4 15 44
4 30 19
4 32 10
4 35 46
4 41 33
4 53 16
4 85 46
4 102 9
4 125 24
4 133 43
4 149 22
4 194 0
4 215 32
4 216 17
4 235 12
4 237 29
4 264 -1
4 291 8
4 292 -2
4 308 18
4 317 36
4 328 6
4 335 26
4 364 19
4 394 2
4 472 29
4 478 44
4 483 8
4 485 4
4 497 6
4 532 37
4 536 21
4 539 50
4 552 -2
4 566 13
4 571 25
4 600 37
4 604 47
4 624 45
4 636 32
4 688 12
4 703 7
4 724 1
4 737 39
4 739 36
4 743 29
4 748 15
4 764 32
4 798 27
4 805 27
4 857 -1
4 884 27
4 933 5
4 949 30
4 964 35
4 979 22
4 1000 35
5 11 38
5 64 6
5 79 -1
5 99 28
5 115 22
5 120 29
5 128 24
5 137 10
5 149 5
5 200 50
5 204 17
5 216 9
5 231 21
5 233 8
5 289 26
5 319 36
5 322 29
5 323 6
5 336 24
5 402 48
5 417 32
5 451 1
5 456 38
5 469 13
5 499 31
5 508 17
5 523 48
5 527 21
5 554 20
5 579 1
5 586 27
5 626 32
5 634 3
5 647 45
5 710 13
5 743 44
5 744 0
5 747 49
5 752 5
5 770 36
5 789 18
5 804 24
5 811 13
5 824 47
5 833 30
5 843 34
5 893 29
5 900 2
5 908 26
5 933 22
5 944 37
5 977 32
5 980 5
5 982 32
5 983 19
5 991 34
6 54 1
6 79 16
6 81 33
6 95 25
6 99 45
6 106 11
6 111 44
6 125 37
6 158 30
6 170 37
6 236 38
6 237 10
6 264 8
6 313 12
6 315 29
6 326 23
6 340 48
6 352 38
6 361 46
6 393 -2
6 397 -2
6 411 38
6 443 45
6 447 28
6 465 28
6 483 -2
6 510 4
6 513 39
6 522 -1
6 544 28
6 560 48
6 567 7
6 575 4
6 610 20
6 617 9
6 630 44
6 643 0
6 719 12
6 744 34
6 763 36
6 772 42
6 793 50
6 800 21
6 815 43
6 832 -1
6 840 28
6 845 15
6 865 7
6 866 25
6 897 -1
6 908 3
6 922 11
6 938 25
6 943 27
6 978 21
6 986 1
6 995 3
6 997 22
7 30 11
7 33 39
7 38 44
7 48 26
7 59 30
7 144 36
7 153 44
7 173 25
7 189 -1
7 192 41
7 196 48
7 211 15
7 242 28
7 244 49
7 320 42
7 322 16
7 362 10
7 391 -2
7 421 26
7 499 41
7 508 -2
7 512 32
7 528 48
7 550 20
7 572 39
7 593 30
7 602 4
7 615 32
7 618 4
7 656 49
7 663 30
7 666 33
7 668 34
7 672 5
7 685 32
7 707 43
7 724 21
7 760 17
7 764 19
7 793 2
7 800 23
7 848 46
7 859 19
7 882 -2
7 888 -2
7 902 0
7 905 0
7 978 5
8 19 26
8 27 5
8 40 49
8 67 16
8 78 5
8 85 -2
8 124 12
8 134 7
8 153 50
8 160 50
8 176 49
8 185 24
8 197 22
8 221 45
8 230 35
8 289 12
8 301 49
8 317 -1
8 346 50
8 357 19
8 386 46
8 399 24
8 414 4
8 421 24
8 437 16
8 444 32
8 454 0
8 458 18
8 460 30
8 493 1
8 495 25
8 500 42
8 507 17
8 550 24
8 564 1
8 597 13
8 613 28
8 632 42
8 637 27
8 647 7
8 664 44
8 668 34
8 675 40
8 689 12
8 724 -1
8 751 46
8 791 26
8 823 41
8 839 44
8 878 11
8 881 24
8 883 45
8 892 42
8 912 37
8 949 12
8 975 36
8 978 23
8 983 5
9 38 42
9 63 22
9 160 42
9 169 37
9 187 12
9 189 13
9 191 12
9 204 34
9 217 4
9 218 49
9 231 2
9 261 15
9 267 50
9 322 8
9 339 13
9 342 47
9 358 43
9 383 25
9 384 33
9 409 38
9 446 2
9 452 47
9 459 4
9 466 34
9 479 50
9 500 7
9 528 11
9 540 50
9 587 33
